transactiondate,terminalid,terminalname,projectname,celebration,location,transactionid,amount
01/01/2026 10:50:35,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,40e73303-3fd3-4051-a6d9-6679e50bc30f,1
01/01/2026 10:50:55,adca6d6c545e7b59,4 Notre-Dame,,Messes,St-Jacques,37a1fd99-da2c-44e7-a5e3-287ead29849b,2
01/01/2026 10:50:55,d4955d6fa679ddaa,10 Villamblard,,Messes,Saint-Pierre,fb6b1f9d-f48a-46d4-bec1-3c6fbec60ad7,15
01/01/2026 10:52:06,adca6d6c545e7b59,4 Notre-Dame,,Messes,La Madeleine,1dec0e7f-67c7-411e-b062-b472eab3a399,5
01/01/2026 10:52:56,25d34c3e4038ac14,6 Notre-Dame,,Messes,La Madeleine,533aec0a-36eb-4bd7-8789-198a42a7046d,10
01/01/2026 11:01:16,adca6d6c545e7b59,4 Notre-Dame,,Messes,La Madeleine,f63145e4-fb37-4fa1-bb83-bbe0701e35f2,5
01/01/2026 11:05:24,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,a1acf456-ecad-48d7-8afb-77c36755e12b,10
01/01/2026 11:06:33,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,b6e8a53f-bfe7-4cd5-ace1-a19befe69562,1
01/01/2026 11:11:36,982951f5f61d01b6,7 Notre-Dame,,Messes,Notre-Dame,f6b6fc8b-d133-4d73-8f90-fa04f3a382d5,2
01/01/2026 11:14:26,25d34c3e4038ac14,6 Notre-Dame,,Messes,St-Jacques,50e7fe5b-facc-457e-b136-047bc6186178,5
01/01/2026 11:18:05,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,200bf06f-01e7-414c-916d-32df44e70195,5
01/01/2026 11:30:49,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,424cc4d0-72fd-402b-886f-6f219562754b,2
01/01/2026 11:33:25,97dddccf948bd1d6,5 Notre-Dame,,Messes,St-Jacques,6c6def13-0be2-4f6a-b0fb-f9788aa6762e,2
01/01/2026 11:36:19,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,cab3dc9d-3f68-4685-b597-c6bc1afaab2f,10
01/01/2026 11:48:32,25d34c3e4038ac14,6 Notre-Dame,,Messes,La Madeleine,8933d487-7969-4d3f-94ad-443fae4390c2,10
01/01/2026 11:49:16,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,5f386427-081b-40b9-8d79-828770264815,5
01/01/2026 11:50:59,adca6d6c545e7b59,4 Notre-Dame,,Messes,La Madeleine,972b7a8f-a901-41d6-bf47-7a99c787bfd4,5
01/01/2026 11:51:53,25d34c3e4038ac14,6 Notre-Dame,,Messes,La Madeleine,76f11fed-4231-4596-a68d-cac319e59add,5
01/01/2026 11:53:27,25d34c3e4038ac14,6 Notre-Dame,,Messes,St-Jacques,585131af-1417-44f5-aacb-5c879e4df74c,10
01/01/2026 11:55:02,d4955d6fa679ddaa,10 Villamblard,,Messes,Saint-Pierre,2b879da9-889c-49c6-a4ec-5020c44049bb,2
01/01/2026 11:56:24,25d34c3e4038ac14,6 Notre-Dame,,Messes,St-Jacques,bc4b7618-f561-40fe-b918-21853f24f48d,2
01/01/2026 11:56:45,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,e9dd1e5a-05ea-4e77-a3b2-63568dec3e82,1
01/01/2026 11:58:00,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,8578891d-6b74-49c3-b605-632e51e6f7bf,2
01/01/2026 12:21:35,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,cb348c0a-2df5-4b22-96d1-e763b2994a4d,1
01/01/2026 18:06:16,d4955d6fa679ddaa,10 Villamblard,,Messes,Saint-Pierre,efc4ddf2-e8f7-45dc-a4a6-345b385e6db9,10
01/01/2026 18:08:45,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,ee3e337b-927c-4702-a5d4-cc8f21cab7fc,20
01/01/2026 18:29:54,adca6d6c545e7b59,4 Notre-Dame,,Messes,La Madeleine,6235fd23-8a4a-4873-8879-d79c2bea526b,2
01/01/2026 18:31:18,982951f5f61d01b6,7 Notre-Dame,,Messes,Notre-Dame,87db1abf-b462-492f-8a3a-24d2e18be7d0,15
01/01/2026 18:37:13,adca6d6c545e7b59,4 Notre-Dame,,Messes,La Madeleine,be92c3d0-848c-4eb9-96dc-fcfa5b0f1a03,2
01/01/2026 18:39:05,adca6d6c545e7b59,4 Notre-Dame,,Messes,La Madeleine,04a35013-f2a1-4786-ba4c-88856c078971,10
01/01/2026 18:40:52,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,3f81539f-96ed-4129-b071-cf01dad81890,10
01/01/2026 18:51:05,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,518b4df0-b465-41f3-925d-4b74cc70bbb0,4
01/01/2026 18:51:42,adca6d6c545e7b59,4 Notre-Dame,,Messes,St-Jacques,5369abc2-5e57-4bec-abef-bc6a81050221,5
01/01/2026 18:56:11,97dddccf948bd1d6,5 Notre-Dame,,Messes,St-Jacques,1dd36da7-1656-4f8a-92aa-e142a658cc53,10
01/01/2026 18:59:38,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,2b4cff24-d143-4faa-b1b8-4b37d7ea374e,5
01/01/2026 19:03:03,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,70dc126b-9a75-4d76-b7f1-53c2aa9f8197,5
01/01/2026 19:04:07,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,e7228ffe-9b8e-4da6-98e3-143aaa6bdc6c,5
01/01/2026 19:07:37,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,938b3f4d-1c8f-4999-8547-25f13e61cd96,"3,5"
01/01/2026 19:13:21,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,cb0bbaeb-6f7b-4a65-ba01-339e0a9822ea,10
01/01/2026 19:25:20,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,ad3bad80-5898-4882-b93f-d1ab14e74218,2
01/02/2026 08:00:09,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,d031c94b-30a7-4334-84bf-0ba37f68c2ec,5
01/02/2026 08:23:38,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,d3cf5e62-309c-43c1-b88f-58994c0425dc,5
01/02/2026 08:54:09,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,ca744ba0-34c3-4be0-affa-88ba938aac06,5
01/02/2026 08:55:21,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,3f4244e2-fae4-4974-911c-5e4306a736ed,1
01/02/2026 11:41:58,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,9d4a1d89-abd1-48c8-a600-3517a49304d7,2
01/02/2026 12:05:28,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,c7932447-1abf-4a6a-8df5-2fb1de9e1c4d,1
01/02/2026 14:59:01,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,c7a1c578-b8e1-4717-8d53-1b079f385a88,"2,5"
01/02/2026 15:17:45,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,130911fd-830b-4f43-b4f9-aff849fa55ca,2
01/02/2026 16:51:38,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,bf066b2a-7661-407f-8205-942ca27ae3bc,"2,5"
01/02/2026 16:59:12,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,2a0a54d1-83ee-475a-8bea-77d1bd9d5436,1
01/03/2026 08:00:48,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,6784da53-7a64-4735-aeac-c7e83683158f,1
01/03/2026 09:07:48,61559316e08b9059,2 Borne SJ,Entretien orgues SJ,,,d4250246-1441-4f4e-8448-9198b47d8f20,50
01/03/2026 09:37:54,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,916d9b7f-2d88-4528-a5d6-c7be866e109a,"5,5"
01/03/2026 10:25:41,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,a13ae583-f1fd-4cf9-88e8-a0f9c62dc0c2,"2,5"
01/03/2026 11:58:41,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,254926c5-19ca-4389-8931-4ff997dda585,"3,5"
01/03/2026 12:29:16,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,65010ee4-f879-4026-9c6e-aa2e1ecc50ab,1
01/03/2026 12:56:17,adca6d6c545e7b59,4 Notre-Dame,,Ventes,Notre-Dame,7aa537b8-3fc3-43ac-a560-b1a86436ea81,6
01/03/2026 14:09:04,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,3fe8003e-fea0-4ed0-b1b0-7ed6e3898920,"5,5"
01/03/2026 14:27:25,adca6d6c545e7b59,4 Notre-Dame,,Ventes,Notre-Dame,b07d18e9-5b17-47ac-aac1-83065936033d,5
01/03/2026 14:35:31,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,fcfe4045-bb54-49ef-bf0a-250079b86f12,1
01/03/2026 14:57:34,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,02d12fc9-d1e8-4346-bf5e-661f1e649eef,1
01/03/2026 15:15:21,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,806a9e83-c372-45de-b7a7-927dff5e2481,"2,5"
01/03/2026 15:40:26,adca6d6c545e7b59,4 Notre-Dame,,Ventes,Notre-Dame,61907478-8a95-4e41-8cb6-54e9da562730,6
01/03/2026 16:44:34,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,2848f3d6-929f-4db9-b4fe-e19f533e81e8,3
01/03/2026 16:44:56,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,cfd8c143-07db-451f-b01b-82b60f2ffd3f,2
01/03/2026 17:44:42,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,ec7fb653-9f39-48d8-9a5a-8128df28e4fa,3
01/03/2026 18:10:36,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,1a64f8db-e328-4f9c-854a-25b86726b5a6,5
01/03/2026 18:30:07,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,29f3bec6-3cef-4912-b07a-8ed781703ebb,"5,5"
01/03/2026 18:56:38,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,75503f02-2693-4b1d-ace8-f8317d8355fd,5
01/03/2026 19:00:09,982951f5f61d01b6,7 Notre-Dame,,Messes,Notre-Dame,f6e0c636-508a-49d5-a8f7-7e8d0ef0c8ba,4
01/04/2026 09:06:47,97dddccf948bd1d6,5 Notre-Dame,,Messes,St-Jacques,bdff7bfc-d4c5-4e23-b41f-f5671dbd888b,5
01/04/2026 09:08:18,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,66d1e258-bf60-42a4-8d82-939f271040bd,10
01/04/2026 09:16:24,adca6d6c545e7b59,4 Notre-Dame,,Messes,St-Jacques,58a32c07-7d6a-4bc2-b92b-de4df4cf9137,5
01/04/2026 09:16:29,25d34c3e4038ac14,6 Notre-Dame,,Messes,St-Jacques,1e67906e-417b-48da-9090-3e2921a90e9e,5
01/04/2026 09:21:58,adca6d6c545e7b59,4 Notre-Dame,,Messes,La Madeleine,5fc374b7-8c67-4f84-baa2-9c1631aff9ae,15
01/04/2026 09:28:01,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,d21c562d-e1f1-4ee7-ab19-debda0ee24bf,5
01/04/2026 09:31:48,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,2fe669d0-5509-4852-9a8b-06e4a2339d83,15
01/04/2026 09:32:20,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,3feaf4fc-359c-4c7f-9bae-7505d3da52f6,5
01/04/2026 09:47:42,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,7ded9b12-2315-454a-a31d-d8c00673e62a,20
01/04/2026 09:52:52,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,3de7538f-4438-4bdf-9a41-b3a417ce0392,10
01/04/2026 09:55:16,adca6d6c545e7b59,4 Notre-Dame,,Messes,La Madeleine,becc6aee-296d-430f-9660-ae01828976d4,10
01/04/2026 09:55:35,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,f6e3b8d6-eb2e-4b38-806c-a8c7e8ba8ce9,5
01/04/2026 10:02:36,25d34c3e4038ac14,6 Notre-Dame,,Messes,La Madeleine,aa6d7c28-df39-439a-9b66-2106ea78bab6,20
01/04/2026 10:06:30,adca6d6c545e7b59,4 Notre-Dame,,Messes,St-Jacques,5a56753f-c642-495c-b9c1-b91f998a48ee,2
01/04/2026 10:10:15,d4955d6fa679ddaa,10 Villamblard,,Messes,Saint-Pierre,e40eec8f-6129-41ee-ab8f-36bfcdd56c56,10
01/04/2026 10:12:26,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,31589b06-63c0-4f1d-b278-6071e4ca5b60,5
01/04/2026 10:15:41,25d34c3e4038ac14,6 Notre-Dame,,Messes,La Madeleine,008384f5-d906-4727-8a75-84a5a9516025,2
01/04/2026 10:17:18,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,68dbe761-7e5e-4ccf-9beb-e13170146a80,2
01/04/2026 10:18:18,25d34c3e4038ac14,6 Notre-Dame,,Messes,St-Jacques,dc5d5bc0-b326-4583-9a33-f88fc3fe9d41,5
01/04/2026 10:21:03,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,cc4915ad-c76e-4722-a136-3eba710e8107,"5,5"
01/04/2026 10:32:21,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,017e41a7-6219-4ea4-b9a7-974a2d8526b5,4
01/04/2026 10:42:55,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,9d749a96-9598-4787-8e69-4d3cabc54ffe,10
01/04/2026 10:48:29,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,7e9faef3-e937-433f-9307-1dbfd765480f,10
01/04/2026 10:50:50,25d34c3e4038ac14,6 Notre-Dame,,Messes,La Madeleine,0719b875-6f89-42f7-b76f-9fb0ee287cfa,10
01/04/2026 10:59:01,97dddccf948bd1d6,5 Notre-Dame,,Messes,St-Jacques,93cb8a61-b538-4b0f-96a9-2fa000a7c040,2
01/04/2026 11:18:13,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,68a17e8f-0bf0-4590-949a-f059f8ca74e4,4
01/04/2026 11:20:52,adca6d6c545e7b59,4 Notre-Dame,,Messes,St-Jacques,9405a93a-78d7-4806-9705-1ecc66ee4c71,5
01/04/2026 11:20:52,adca6d6c545e7b59,4 Notre-Dame,,Messes,St-Jacques,39b881d9-5e30-4645-b340-3d7d014122ca,5
01/04/2026 11:21:46,d4955d6fa679ddaa,10 Villamblard,,Messes,Saint-Pierre,2c5b61f9-ae80-4a1b-8e98-cbdcfd4de43f,20
01/04/2026 11:25:41,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,8b8bf1b6-c8c0-48f1-be9f-eb3865bbba8a,5
01/04/2026 11:27:22,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,6c4b971c-8280-4490-bd07-8febaab5a4cd,5
01/04/2026 11:44:48,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,8d16c64e-cb99-4be9-b07c-2cd8e767347f,2
01/04/2026 11:53:12,25d34c3e4038ac14,6 Notre-Dame,,Messes,La Madeleine,21487d32-8bbf-40c0-836b-1050148f10dd,2
01/04/2026 11:53:48,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,4104ac8b-7857-436e-8c70-ee48a2ba1c2f,5
01/04/2026 11:54:35,adca6d6c545e7b59,4 Notre-Dame,,Messes,St-Jacques,b940528e-fb1e-4709-b954-093e80f4ee74,10
01/04/2026 11:55:42,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,cc2895d5-91f8-451d-8c4f-1d41ff8f60bd,2
01/04/2026 12:02:30,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,a503aa35-a08a-4293-9a15-5adbaa53ea1b,1
01/04/2026 12:12:58,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,817b69c5-e70a-4852-8009-7ee50e1d47af,1
01/04/2026 12:31:56,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,4c88f317-5eac-4c13-833f-d5171efc3e53,2
01/04/2026 13:50:11,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,b8e031d2-4e4a-45e9-ba6e-f623ebaa08da,2
01/04/2026 13:57:11,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,1c70045b-5e3d-447c-96bc-cd454ad6884c,3
01/04/2026 15:05:48,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,3fb26ce8-b7ca-45ae-af2a-011edc607cd0,1
01/04/2026 15:18:32,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,dbb5ce1c-eb6f-4a66-a69a-7013ce5b9a31,2
01/04/2026 18:00:43,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,e1b85ce4-707a-4b24-b7a1-d96ecbcc51ce,10
01/04/2026 18:00:57,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,6e021125-911e-4012-af72-fa4f09236f73,2
01/04/2026 18:06:13,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,c399b5b2-efbf-4e6e-bea5-1523dbdcf298,2
01/04/2026 18:12:38,982951f5f61d01b6,7 Notre-Dame,,Messes,Notre-Dame,d4b9035f-9d1a-44b3-914a-89b30d17289d,5
01/04/2026 18:16:47,e0d4a5777d03dfa2,9 Villamblard,,Messes,Saint-Pierre,75431486-be69-4ac5-bc8a-18d31fbc8d23,20
01/04/2026 18:23:34,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,33096f96-47be-45d5-b877-d4c2f0bab29f,5
01/04/2026 18:30:07,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,b81e1d28-014b-4de1-8eb9-4f44da19a202,10
01/04/2026 18:36:04,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,662bf115-a4fd-4bd7-90a1-b950607989a5,20
01/04/2026 18:41:30,97dddccf948bd1d6,5 Notre-Dame,,Messes,St-Jacques,7058b630-4d71-4c96-9484-d7add1389672,10
01/04/2026 19:06:58,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,08ea1120-f7ff-43bb-a50e-29acf8943927,10
01/04/2026 19:07:04,adca6d6c545e7b59,4 Notre-Dame,,Messes,La Madeleine,5a94690e-f600-4198-ae2b-7c915d87f1e4,15
01/04/2026 19:08:27,d4955d6fa679ddaa,10 Villamblard,,Messes,Saint-Pierre,b64179aa-63a1-4ba9-83ba-6096719dd205,2
01/04/2026 19:23:26,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,538bd07f-7f92-4911-bd45-4829a74afde8,10
01/05/2026 08:03:20,982951f5f61d01b6,7 Notre-Dame,,Messes,Notre-Dame,0ca7c694-91fb-4192-988c-684aaf47025c,2
01/05/2026 08:23:25,885e69ea1971ea7c,8 Notre-Dame,,Messes,Notre-Dame,c6a26a37-8e6e-45be-bee8-f22fae052272,2
01/05/2026 08:24:38,25d34c3e4038ac14,6 Notre-Dame,,Messes,Notre-Dame,34162d12-a2fd-4c92-a039-6a69aa7e120d,4
01/05/2026 09:01:02,d3541f7866114ff5,1 Borne ND,Faire un don ND,,,21fc2172-d96c-4e3e-808c-c17db11a493c,50
01/05/2026 13:56:48,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,b6de94f8-4452-4a23-81ee-736070fde7fe,2
01/05/2026 14:34:03,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,9a06f743-aaa6-4479-a788-092386816729,1
01/05/2026 15:53:07,61559316e08b9059,2 Borne SJ,Entretien orgues SJ,,,516b25ac-5d87-46c8-9951-2f169fd154df,30
01/05/2026 17:33:13,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,501d8faa-1c26-4e95-991f-7e04a5a6dcce,2
01/05/2026 18:30:25,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,c0aa402c-38ee-49d4-814b-0c00f576f1ff,"5,5"
01/06/2026 08:06:33,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,26a74f5c-a6de-4579-8c96-73062ab40c60,2
01/06/2026 08:15:25,97dddccf948bd1d6,5 Notre-Dame,,Messes,Notre-Dame,97f3d0d0-42fa-4be5-b5ac-d3401b56040a,20
01/06/2026 08:21:26,adca6d6c545e7b59,4 Notre-Dame,,Messes,Notre-Dame,dbb7c65f-7ca6-4c69-8bec-d0300ccd0a9b,10
01/06/2026 08:46:39,25d34c3e4038ac14,6 Notre-Dame,,Messes,St-Jacques,2df99e9a-f961-4ca3-b3a0-4b058a47b81b,5
01/06/2026 09:06:59,25d34c3e4038ac14,6 Notre-Dame,,Messes,St-Jacques,8071452d-d51e-4b91-a999-acc41cc624e2,4
01/06/2026 09:19:52,97dddccf948bd1d6,5 Notre-Dame,,Messes,St-Jacques,1539ca5c-ce60-4612-ad5d-48af1f0250e2,2
01/06/2026 10:38:58,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,ce666d3b-dd06-4381-a85b-28e9ebd475ff,2
01/06/2026 11:16:19,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,0b94976c-c4fa-4a42-8f0c-7c2adb5b728e,5
01/06/2026 13:22:24,61559316e08b9059,2 Borne SJ,Allumer un cierge SJ,,,6e0061b2-18bb-404a-b47c-8b4fb403f231,1
01/06/2026 16:47:49,d3541f7866114ff5,1 Borne ND,Allumer un cierge ND,,,4b729945-ce79-4d27-9170-846908ba3dd6,1
